id,naslov,zbirka,id_avtorja,avtor,ocena,stevilo_ocen,leto,glasovi
16343,The Mysterious Affair at Styles,Hercule Poirot,123715,Agatha Christie,3.99,256238,1920,465296
53835,The Age of Innocence,,16,Edith Wharton,3.95,139727,1920,315835
46165,This Side of Paradise,,3190,F. Scott Fitzgerald,3.66,62463,1920,159803
325421,The Story of Doctor Dolittle,Doctor Dolittle,70762,Hugh Lofting,3.97,45609,1920,62518
9784,Women in Love,,17623,D.H. Lawrence,3.67,29337,1920,59323
11376,Main Street,,7330,Sinclair Lewis,3.77,23864,1920,50987
4662,The Short Stories,,3190,F. Scott Fitzgerald,4.23,13917,1920,33157
6217,Kristin Lavransdatter,Kristin Lavransdatter,4203,Sigrid Undset,4.29,9017,1920,31771
240485,Storm of Steel,,281443,Ernst Jünger,4.14,9968,1920,30783
778255,Ion,,409285,Liviu Rebreanu,3.47,11186,1920,16300
281881,The Go-Getter,,12009,Peter B. Kyne,4.16,7943,1920,16843
18798,The Guermantes Way,,233619,Marcel Proust,4.31,7301,1920,19715
765300,Glinda of Oz,Oz,3242,L. Frank Baum,3.93,5829,1920,14443
18799,Sodom and Gomorrah,,233619,Marcel Proust,4.35,5849,1920,18937
6220,The Wreath,Kristin Lavransdatter,4203,Sigrid Undset,4.02,5301,1920,13910
518445,Further Chronicles of Avonlea,Chronicles of Avonlea,5350,L.M. Montgomery,3.84,6144,1920,11606
436562,R.U.R.,,439723,Karel Čapek,3.88,8196,1920,14394
16856,Flappers and Philosophers,,3190,F. Scott Fitzgerald,4.0,4604,1920,13480
60079,Queen Lucia,,13479797,E.F. Benson,3.96,4378,1920,9962
389115,Chéri,,51575,Colette,3.68,3031,1920,9080
130080,Red Cavalry,,34055,Isaac Babel,4.04,3216,1920,8133
1064084,A Voyage to Arcturus,,29974,David  Lindsay,3.58,2704,1920,8593
13222,Charlotte and  Emily Brontë: The Complete Novels,,1036615,Charlotte Brontë,4.34,3877,1920,7485
36316,The Doom That Came to Sarnath and Other Stories,,9494,H.P. Lovecraft,4.12,3128,1920,5886
426077,Dream Psychology: Psychoanalysis for Beginners,,10017,Sigmund Freud,3.4,2342,1920,9667
80244,Bernice Bobs Her Hair,,3190,F. Scott Fitzgerald,3.97,2981,1920,4865
85416,Beyond the Pleasure Principle and Other Writings,,10017,Sigmund Freud,3.97,1802,1920,4520
717128,The Children of Odin: The Book of Northern Myths,,2726692,Padraic Colum,4.0,3341,1920,8471
203818,The New Oxford Annotated Bible: New Revised Standard Version,,5158478,Anonymous,4.35,3341,1920,6713
539387,"The Holy Bible: New American Standard Version, NASB",,5158478,Anonymous,4.6,4876,1920,9836
425904,Pierre and Luce,,41495,Romain Rolland,3.63,4081,1920,6165
377663,Traditional Irish Fairy Tales,,82937,James Stephens,3.82,1775,1920,5981
11143472,The Cats of Ulthar,,9494,H.P. Lovecraft,3.73,2504,1920,3791
706554,Beyond the Pleasure Principle,,10017,Sigmund Freud,3.7,1713,1920,5290
100793,Wandering,,1113469,Hermann Hesse,4.04,1658,1920,5071
145009,The Sociology of Religion,,42041,Max Weber,3.94,764,1920,3132
691928,Paul's Case,,881203,Willa Cather,3.84,1935,1920,3021
435095,The Emperor Jones,,7680,Eugene O';Neill,3.28,1869,1920,3009
6489513,The Statement of Randolph Carter,,9494,H.P. Lovecraft,3.7,2174,1920,3115
255262,The Individual Psychology of Alfred Adler,,97579,Alfred Adler,4.03,570,1920,3346
10158695,The Autobiography of Andrew Carnegie,,23387,Andrew Carnegie,3.9,1075,1920,4013
188086,Stories,,45712,Katherine Mansfield,4.2,753,1920,2290
504128,The Complete Works of E.M. Bounds on Prayer,,942850,E.M. Bounds,4.5,1298,1920,4497
188090,Bliss & Other Stories,,45712,Katherine Mansfield,3.94,1168,1920,2985
2915975,The Ice Palace,,3190,F. Scott Fitzgerald,3.63,926,1920,2222
5024135,Nyarlathotep,,9494,H.P. Lovecraft,3.41,1762,1920,2624
672737,Darkwater: Voices from Within the Veil,,10710,W.E.B. Du Bois,4.28,484,1920,2522
816445,The Absolute at Large,,439723,Karel Čapek,3.86,1743,1920,3414
984665,Miss Brill,,45712,Katherine Mansfield,3.59,1531,1920,2844
11006902,The Mysterious Affair at Styles and The Secret Adversary (Complete Mystery Novel Collection of Agatha Christie Vol. 1),,123715,Agatha Christie,4.26,2323,1920,5050
949699,The Great Impersonation,,620801,E. Phillips Oppenheim,3.92,818,1920,2497
1223795,May Day,,3190,F. Scott Fitzgerald,3.69,1244,1920,2424
6383607,In Chancery,The Forsyte Chronicles,7419,John Galsworthy,4.27,1216,1920,2250
1410532,From Ritual to Romance,,5970923,Jessie Laidlay Weston,3.78,501,1920,2093
950251,Calculus and Analytic Geometry,,141290,George B. Thomas Jr.,4.13,304,1920,1895
459123,The Lost Girl,,17623,D.H. Lawrence,3.52,808,1920,2610
328186,The Tiger in the House: A Cultural History of the Cat,,77261,Carl Van Vechten,3.52,181,1920,1841
13277964,The Doom That Came to Sarnath,,9494,H.P. Lovecraft,3.4,1183,1920,1766
2297206,The Soul Winner,,2876959,Charles Haddon Spurgeon,4.45,903,1920,3564
1558414,The Sleeping Beauty,,15726385,C.S.  Evans,3.94,1417,1920,2886
2815620,Now It Can Be Told,,79712,Philip Gibbs,4.23,502,1920,2403
1769648,Terrorism and Communism: A Reply to Karl Kautsky,,65974,Leon Trotsky,3.72,450,1920,1766
18018,Jill the Reckless,,7963,P.G. Wodehouse,4.03,1126,1920,2154
784977,The Magnetic Fields,,54133,André Breton,3.84,268,1920,1408
12233930,The Holy Bible: New Revised Standard Version with the Apocrypha,,5158478,Anonymous,4.48,1878,1920,4875
2275129,Little Red Riding Hood,,512402,Vera Southgate,3.94,769,1920,1160
2306,The House of Mirth / The Reef / The Custom of the Country / The Age of Innocence,,16,Edith Wharton,4.3,493,1920,1376
361551,The Offshore Pirate,,3190,F. Scott Fitzgerald,4.03,649,1920,1141
121185,The Man of the Forest,,18134,Zane Grey,4.05,1314,1920,2595
1714576,Economic Calculation in the Socialist Commonwealth,,46766,Ludwig von Mises,4.36,434,1920,1176
2854366,Economics for South African Students,,1427063,Philip Mohr,4.12,69,1920,1011
8276895,City of Endless Night,,1341903,Milo Hastings,3.8,563,1920,1347
581093,Theras and His Town,,51276,Caroline Dale Snedeker,3.5,580,1920,1064
16895,Collected Essays and Poems,,10264,Henry David Thoreau,4.23,345,1920,949
574096,Cloudy Jewel,,28671,Grace Livingston Hill,4.08,1090,1920,1969
249193,Be Faithful Unto Death,,5557015,Zsigmond Móricz,3.48,892,1920,1715
18817258,The Living Bible,,5158478,Anonymous,4.48,545,1920,1604
453983,The Sacred Wood,,18540,T.S. Eliot,3.98,340,1920,1105
11819140,The Street,,9494,H.P. Lovecraft,2.41,645,1920,943
880136,Beyond the Horizon,,7680,Eugene O';Neill,3.71,476,1920,946
10922589,Satan's Diary,,24953,Leonid Andreyev,3.76,1030,1920,2568
60321,A Few Figs from Thistles,,33998,Edna St. Vincent Millay,4.19,517,1920,1132
1793077,A Modern Comedy,The Forsyte Chronicles,7419,John Galsworthy,4.31,674,1920,1353
1856273,Head and Shoulders,,3190,F. Scott Fitzgerald,3.87,408,1920,819
213254,One Man's Initiation: 1917,,4778,John Dos Passos,3.35,516,1920,957
57752,Box Socials,,32549,W.P. Kinsella,3.51,547,1920,849
1428323,General Chemistry: Principles and Structure,,430001,James E. Brady,4.1,84,1920,773
70100,If it Die...,,7617,André Gide,3.54,459,1920,1348
343037,Self Mastery Through Conscious Autosuggestion,,192066,Émile Coué,3.78,401,1920,1283
644475,The Art of Selfishness,,271567,David Seabury,4.1,100,1920,751
2078671,Mortal Coils,,3487,Aldous Huxley,3.47,296,1920,921
93663,Arsène Lupin in the Teeth of the Tiger,Arsène Lupin,1569298,Maurice Leblanc,4.0,444,1920,975
375272,Hungry Hearts,,2494,Anzia Yezierska,3.77,270,1920,997
7241256,The Comet,,10710,W.E.B. Du Bois,3.84,205,1920,731
1605952,Bulldog Drummond,Bulldog Drummond,370972,Sapper,3.57,533,1920,1148
15736210,The Cut-Glass Bowl,,3190,F. Scott Fitzgerald,3.42,420,1920,698
1764814,Fungi from Yuggoth and Other Poems,,9494,H.P. Lovecraft,3.77,703,1920,1292
262582,The Psychoses 1955-1956,,42907,Jacques Lacan,4.29,216,1920,719
1332967,Jailed for Freedom: American Women Win the Vote,,635761,Doris Stevens,4.18,174,1920,758
80184,Poor White,,45645,Sherwood Anderson,3.7,334,1920,911
18745437,The Best American Humorous Short Stories,,1912442,Alexander Jessup,3.14,252,1920,1140
180851,La madre,,1709,Grazia Deledda,3.64,441,1920,1094
554914,The Language of Love: How to Quickly Communicate Your Feelings and Needs,,7362,Gary Smalley,3.91,248,1920,712
269602,The Picture Bible,,157299,Iva Hoth,4.49,348,1920,707
26948,Three Novels of Old New York: The House of Mirth; The Custom of the Country; The Age of Innocence,,16,Edith Wharton,4.3,198,1920,1045
574128,Exit Betty,,28671,Grace Livingston Hill,4.05,606,1920,1182
1682216,The Nature Of The Physical World,,28292,Arthur Stanley Eddington,4.01,72,1920,756
743414,Europe and the Faith,,4025,Hilaire Belloc,4.16,178,1920,664
